wfo,lat,lon
ABQ,35.036792990052,-106.625605101972
ABR,45.454504252135,-98.412911219276
AKQ,36.987864891689,-77.016689260669
ALY,42.692073432594,-73.826464265994
AMA,35.234153548806,-101.708725566819
APX,44.91007290762,-84.718908648902
ARX,43.806243,-91.140632
BGM,42.21068070018,-75.985218915431
BIS,46.765647269387,-100.763151641726
BMX,33.181317745046,-86.782729802553
BOI,43.567483763655,-116.20749763983
BOU,39.980430955488,-105.245513181244
BOX,41.956838297537,-71.139371888528
BRO,25.915660566953,-97.418387664349
BTV,44.470121765196,-73.157253209855
BUF,42.942273951203,-78.719973552104
BYZ,45.750918101563,-108.570120240949
CAE,33.945156501697,-81.119239325036
CAR,46.868339434087,-68.012292333772
CHS,32.898667183358,-80.029439420605
CLE,41.383276,-81.65469
CRP,27.781019302185,-97.507452956966
CTP,40.830045274558,-77.844909828151
CYS,41.152299225716,-104.804994112732
DDC,37.760211942169,-99.96821159745
DLH,46.835519426666,-92.208318022076
DMX,41.738155967986,-93.724868257771
DTX,42.660183,-83.479969
DVN,41.589169,-90.625469
EAX,38.809685462352,-94.263360697633
EKA,40.811656667556,-124.15834829896
EPZ,31.818657,-106.757282
EWX,29.70695063979,-98.033684134168
FFC,33.360433394739,-84.568501649678
FGF,47.922164059801,-97.098874574879
FGZ,35.222777,-111.814066
FSD,43.587967142739,-96.730637910042
FWD,32.834608890975,-97.299200265083
GGW,48.204797008609,-106.612939566016
GID,40.643285850217,-98.382588766889
GJT,39.119188746019,-108.524860000707
GLD,39.365802125808,-101.703891946365
GRB,44.498547113141,-88.112204122078
GRR,42.880121,-85.553203
GSP,34.879440833206,-82.223877243694
GYX,43.90492,-70.367727
HGX,29.421163031226,-95.092073304493
HNX,36.327526288131,-119.635327757842
HUN,34.724187279814,-86.644220389466
ICT,37.656357663064,-97.443716979291
ILM,34.280314712592,-77.912447254324
ILN,39.421248739995,-83.822789451078
ILX,40.150271824373,-89.344628432279
IND,39.705884367856,-86.283014000828
IWX,41.357913461951,-85.701207067516
JAN,32.336997,-90.085883
JAX,30.482448210665,-81.702172905565
JKL,37.582565120532,-83.313668534013
KEY,24.552894586379,-81.788683762387
LBF,41.133346790789,-100.703616517522
LCH,30.128700993689,-93.213566292624
LIX,30.336730048949,-89.82589077627
LKN,40.858787467514,-115.741491472006
LMK,38.114732294253,-85.645255519382
LOT,41.633263,-88.099305
LOX,34.205325121414,-119.138082930396
LSX,38.710426592565,-90.691549959187
LUB,33.439985,-101.855477
LWX,38.974486488559,-77.483560711626
LZK,34.840910127942,-92.259402226948
MAF,31.949356571609,-102.199332604289
MEG,35.134627767991,-89.841275677061
MFL,25.753829187497,-80.383328029184
MFR,42.375710688024,-122.882111093073
MHX,34.776389477812,-76.878140617894
MKX,42.968356830318,-88.547616039956
MLB,28.113554400563,-80.654844260362
MOB,30.679041291411,-88.236602806412
MPX,44.851054384223,-93.56412159773
MQT,46.415937,-87.584762
MRX,36.167640653141,-83.402760836644
MSO,46.924729623083,-114.089129944618
MTR,36.597649,-121.87331
OAX,41.320312323202,-96.367910565125
OHX,36.237708,-86.60703
OKX,40.865846,-72.887206
OTX,47.679188374201,-117.625306664962
OUN,35.211565,-97.501018
PAH,37.082764,-88.77271
PBZ,40.532315650451,-80.218018953456
PDT,45.690394286203,-118.851861034576
PHI,40.013401647646,-74.816007172554
PIH,42.903413190375,-112.587723110511
PQR,45.560178505414,-122.537457598816
PSR,33.441710100201,-111.95801136987
PUB,38.282191543143,-104.520476257747
RAH,35.742323,-78.715478
REV,39.569421485146,-119.796217628503
RIW,43.065339435121,-108.478521825015
RLX,38.359561,-81.68613
RNK,37.204240137925,-80.41412201574
SEW,47.685443610687,-122.264639258212
SGF,37.242388009057,-93.413987262463
SGX,33.020730968868,-117.082990522529
SHV,32.455935456809,-93.841908851403
SJT,31.372317693646,-100.492393851077
SLC,40.771563262274,-111.954571263932
STO,38.610441613762,-121.387504839326
TAE,30.442319,-84.294482
TBW,27.705716500509,-82.400604113113
TFX,47.631766,-111.32887
TOP,39.071977271536,-95.631245717599
TSA,36.14804327794,-95.863973621542
TWC,32.228256549904,-110.956386192864
UNR,44.071895030451,-103.212147325341
VEF,36.047119719851,-115.183643036988
